Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Bermuda,Region of the Americas of WHO,North America,1995,1,1/2/95,1/8/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,2,1/9/95,1/15/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,3,1/16/95,1/22/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,4,1/23/95,1/29/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,5,1/30/95,2/5/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,6,2/6/95,2/12/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,7,2/13/95,2/19/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,8,2/20/95,2/26/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,9,2/27/95,3/5/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,10,3/6/95,3/12/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,11,3/13/95,3/19/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,12,3/20/95,3/26/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,13,3/27/95,4/2/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,14,4/3/95,4/9/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,15,4/10/95,4/16/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,16,4/17/95,4/23/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,17,4/24/95,4/30/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,18,5/1/95,5/7/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,19,5/8/95,5/14/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,20,5/15/95,5/21/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,21,5/22/95,5/28/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,22,5/29/95,6/4/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,23,6/5/95,6/11/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,24,6/12/95,6/18/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,25,6/19/95,6/25/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,26,6/26/95,7/2/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,27,7/3/95,7/9/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,28,7/10/95,7/16/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,29,7/17/95,7/23/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,30,7/24/95,7/30/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,31,7/31/95,8/6/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,32,8/7/95,8/13/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,33,8/14/95,8/20/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,34,8/21/95,8/27/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,35,8/28/95,9/3/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,36,9/4/95,9/10/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,37,9/11/95,9/17/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,38,9/18/95,9/24/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,39,9/25/95,10/1/95,,,,,,,,,,,,,,,No Report
Bermuda,Region of the Americas of WHO,North America,1995,40,10/2/95,10/8/95,,,,,,,,,,,,,,,No Report
