PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2016,40,X,2.22398,X,X,X,X,X,X,169,23,7599
States,Texas,2016,40,X,2.08692,X,X,X,X,X,X,654,120,31338
States,Alabama,2016,41,X,1.6809,X,X,X,X,X,X,124,24,7377
States,Texas,2016,41,X,1.95234,X,X,X,X,X,X,571,117,29247
States,Alabama,2016,42,X,1.99635,X,X,X,X,X,X,153,24,7664
States,Texas,2016,42,X,1.84806,X,X,X,X,X,X,541,114,29274
States,Alabama,2016,43,X,2.40322,X,X,X,X,X,X,185,24,7698
States,Texas,2016,43,X,2.06247,X,X,X,X,X,X,589,114,28558
States,Alabama,2016,44,X,2.70133,X,X,X,X,X,X,213,25,7885
States,Texas,2016,44,X,2.01191,X,X,X,X,X,X,581,112,28878
States,Alabama,2016,45,X,2.46088,X,X,X,X,X,X,195,25,7924
States,Texas,2016,45,X,2.08512,X,X,X,X,X,X,607,116,29111
States,Alabama,2016,46,X,2.81762,X,X,X,X,X,X,222,21,7879
States,Texas,2016,46,X,2.24903,X,X,X,X,X,X,673,116,29924
States,Alabama,2016,47,X,2.62077,X,X,X,X,X,X,134,23,5113
States,Texas,2016,47,X,2.59299,X,X,X,X,X,X,550,114,21211
States,Alabama,2016,48,X,2.69573,X,X,X,X,X,X,209,25,7753
States,Texas,2016,48,X,2.49507,X,X,X,X,X,X,696,112,27895
States,Alabama,2016,49,X,2.65332,X,X,X,X,X,X,212,25,7990
States,Texas,2016,49,X,3.06871,X,X,X,X,X,X,816,113,26591
States,Alabama,2016,50,X,3.84472,X,X,X,X,X,X,310,26,8063
States,Texas,2016,50,X,3.41272,X,X,X,X,X,X,887,111,25991
States,Alabama,2016,51,X,4.96494,X,X,X,X,X,X,347,25,6989
States,Texas,2016,51,X,4.10321,X,X,X,X,X,X,951,108,23177
States,Alabama,2016,52,X,5.47445,X,X,X,X,X,X,345,25,6302
States,Texas,2016,52,X,4.32471,X,X,X,X,X,X,960,109,22198
States,Alabama,2017,1,X,4.38736,X,X,X,X,X,X,275,24,6268
States,Texas,2017,1,X,4.19085,X,X,X,X,X,X,1076,113,25675
States,Alabama,2017,2,X,4.11625,X,X,X,X,X,X,330,24,8017
States,Texas,2017,2,X,5.06267,X,X,X,X,X,X,1450,112,28641
States,Alabama,2017,3,X,6.10548,X,X,X,X,X,X,470,24,7698
States,Texas,2017,3,X,5.47691,X,X,X,X,X,X,1563,112,28538
States,Alabama,2017,4,X,5.26563,X,X,X,X,X,X,449,25,8527
States,Texas,2017,4,X,6.20619,X,X,X,X,X,X,1868,109,30099
States,Alabama,2017,5,X,6.47647,X,X,X,X,X,X,538,24,8307
States,Texas,2017,5,X,8.48188,X,X,X,X,X,X,2774,112,32705
States,Alabama,2017,6,X,7.76346,X,X,X,X,X,X,705,24,9081
States,Texas,2017,6,X,10.2826,X,X,X,X,X,X,3508,113,34116
States,Alabama,2017,7,X,7.56183,X,X,X,X,X,X,691,25,9138
States,Texas,2017,7,X,9.2512,X,X,X,X,X,X,2592,90,28018
