REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2016,40,406,4,1,1.23,0.99,0.25
States,Texas,2016,40,1122,15,10,2.23,1.34,0.89
States,Alabama,2016,41,530,6,7,2.45,1.13,1.32
States,Texas,2016,41,1153,10,19,2.52,0.87,1.65
States,Alabama,2016,42,503,3,5,1.59,0.6,0.99
States,Texas,2016,42,1152,8,10,1.56,0.69,0.87
States,Alabama,2016,43,464,5,1,1.29,1.08,0.22
States,Texas,2016,43,1174,12,18,2.56,1.02,1.53
States,Alabama,2016,44,591,15,8,3.89,2.54,1.35
States,Texas,2016,44,1275,12,9,1.65,0.94,0.71
States,Alabama,2016,45,625,5,1,0.96,0.8,0.16
States,Texas,2016,45,1514,10,19,1.92,0.66,1.25
States,Alabama,2016,46,678,15,9,3.54,2.21,1.33
States,Texas,2016,46,1746,21,22,2.46,1.2,1.26
States,Alabama,2016,47,650,14,8,3.38,2.15,1.23
States,Texas,2016,47,1537,17,16,2.15,1.11,1.04
States,Alabama,2016,48,714,20,9,4.06,2.8,1.26
States,Texas,2016,48,1780,12,20,1.8,0.67,1.12
States,Alabama,2016,49,723,20,7,3.73,2.77,0.97
States,Texas,2016,49,1653,37,29,3.99,2.24,1.75
States,Alabama,2016,50,801,31,8,4.87,3.87,1
States,Texas,2016,50,2035,75,24,4.86,3.69,1.18
States,Alabama,2016,51,970,44,13,5.88,4.54,1.34
States,Texas,2016,51,1949,86,46,6.77,4.41,2.36
States,Alabama,2016,52,989,65,16,8.19,6.57,1.62
States,Texas,2016,52,2449,129,38,6.82,5.27,1.55
States,Alabama,2017,1,919,52,12,6.96,5.66,1.31
States,Texas,2017,1,2278,155,42,8.65,6.8,1.84
States,Alabama,2017,2,845,67,16,9.82,7.93,1.89
States,Texas,2017,2,2400,285,47,13.83,11.88,1.96
States,Alabama,2017,3,735,77,17,12.79,10.48,2.31
States,Texas,2017,3,2417,340,55,16.34,14.07,2.28
States,Alabama,2017,4,766,79,18,12.66,10.31,2.35
States,Texas,2017,4,2699,402,74,17.64,14.89,2.74
States,Alabama,2017,5,1033,118,27,14.04,11.42,2.61
States,Texas,2017,5,3425,664,107,22.51,19.39,3.12
States,Alabama,2017,6,1219,143,47,15.59,11.73,3.86
States,Texas,2017,6,4145,892,185,25.98,21.52,4.46
States,Alabama,2017,7,1279,167,77,19.08,13.06,6.02
States,Texas,2017,7,3884,802,200,25.8,20.65,5.15
States,Alabama,2017,8,1226,151,93,19.9,12.32,7.59
States,Texas,2017,8,3480,646,193,24.11,18.56,5.55
States,Alabama,2017,9,973,104,72,18.09,10.69,7.4
States,Texas,2017,9,3197,502,191,21.68,15.7,5.97
States,Alabama,2017,10,983,91,63,15.67,9.26,6.41
States,Texas,2017,10,3099,454,226,21.94,14.65,7.29
States,Alabama,2017,11,964,84,60,14.94,8.71,6.22
States,Texas,2017,11,2635,304,184,18.52,11.54,6.98
States,Alabama,2017,12,1056,74,105,16.95,7.01,9.94
States,Texas,2017,12,2320,201,159,15.52,8.66,6.85
States,Alabama,2017,13,770,47,72,15.45,6.1,9.35
States,Texas,2017,13,1935,112,113,11.63,5.79,5.84
States,Alabama,2017,14,632,27,57,13.29,4.27,9.02
States,Texas,2017,14,1851,88,114,10.91,4.75,6.16
States,Alabama,2017,15,480,16,46,12.92,3.33,9.58
States,Texas,2017,15,1684,52,81,7.9,3.09,4.81
States,Alabama,2017,16,449,14,33,10.47,3.12,7.35
States,Texas,2017,16,1539,39,66,6.82,2.53,4.29
States,Alabama,2017,17,400,10,23,8.25,2.5,5.75
States,Texas,2017,17,1464,33,48,5.53,2.25,3.28
States,Alabama,2017,18,335,2,17,5.67,0.6,5.07
States,Texas,2017,18,1261,25,42,5.31,1.98,3.33
States,Alabama,2017,19,366,8,23,8.47,2.19,6.28
States,Texas,2017,19,1174,11,40,4.34,0.94,3.41
States,Alabama,2017,20,283,9,17,9.19,3.18,6.01
States,Texas,2017,20,1223,18,35,4.33,1.47,2.86
States,Alabama,2017,21,320,10,13,7.19,3.13,4.06
States,Texas,2017,21,1210,12,32,3.64,0.99,2.64
States,Alabama,2017,22,241,6,11,7.05,2.49,4.56
States,Texas,2017,22,1036,12,20,3.09,1.16,1.93
States,Alabama,2017,23,219,2,1,1.37,0.91,0.46
States,Texas,2017,23,1100,5,15,1.82,0.45,1.36
States,Alabama,2017,24,156,3,1,2.56,1.92,0.64
States,Texas,2017,24,903,3,7,1.11,0.33,0.78
States,Alabama,2017,25,146,2,4,4.11,1.37,2.74
